DC_gain,Peak_gain,eye_height,eye_width
-10.0,2.0,0.0065,6.400000e-11
-10.0,2.5,0.0073,7.200000e-11
-10.0,3.0,0.0201,8.800000e-11
-10.0,3.5,0.0179,8.800000e-11
-10.0,4.0,0.0153,8.800000e-11
-10.0,4.5,0.0125,7.200000e-11
-10.0,5.0,0.0093,7.200000e-11
-10.0,5.5,0.0639,1.040000e-10
-10.0,6.0,0.0662,1.040000e-10
-10.0,6.5,0.0677,1.040000e-10
-10.0,7.0,0.0689,1.040000e-10
-10.0,7.5,0.0700,1.040000e-10
-10.0,8.0,0.0711,9.600000e-11
-10.0,8.5,0.0720,9.600000e-11
-10.0,9.0,0.0729,9.600000e-11
-10.0,9.5,0.0836,9.600000e-11
-10.0,10.0,0.0870,9.600000e-11
-9.5,2.0,0.0069,6.400000e-11
-9.5,2.5,0.0077,7.200000e-11
-9.5,3.0,0.0213,8.800000e-11
-9.5,3.5,0.0189,8.800000e-11
-9.5,4.0,0.0162,8.800000e-11
-9.5,4.5,0.0132,7.200000e-11
-9.5,5.0,0.0098,7.200000e-11
-9.5,5.5,0.0676,1.040000e-10
-9.5,6.0,0.0701,1.040000e-10
-9.5,6.5,0.0717,1.040000e-10
-9.5,7.0,0.0730,1.040000e-10
-9.5,7.5,0.0742,1.040000e-10
-9.5,8.0,0.0753,9.600000e-11
-9.5,8.5,0.0763,9.600000e-11
-9.5,9.0,0.0773,9.600000e-11
-9.5,9.5,0.0886,9.600000e-11
-9.5,10.0,0.0922,9.600000e-11
-9.0,2.0,0.0073,6.400000e-11
-9.0,2.5,0.0082,7.200000e-11
-9.0,3.0,0.0226,8.800000e-11
-9.0,3.5,0.0201,8.800000e-11
-9.0,4.0,0.0172,8.800000e-11
-9.0,4.5,0.0140,7.200000e-11
-9.0,5.0,0.0104,7.200000e-11
-9.0,5.5,0.0717,1.040000e-10
-9.0,6.0,0.0742,1.040000e-10
-9.0,6.5,0.0759,1.040000e-10
-9.0,7.0,0.0773,1.040000e-10
-9.0,7.5,0.0786,1.040000e-10
-9.0,8.0,0.0797,9.600000e-11
-9.0,8.5,0.0808,9.600000e-11
-9.0,9.0,0.0818,9.600000e-11
-9.0,9.5,0.0938,9.600000e-11
-9.0,10.0,0.0976,9.600000e-11
