DC_gain,Peak_gain,eye_height,eye_width
-8.5,2.0,0.0077,6.400000e-11
-8.5,2.5,0.0087,7.200000e-11
-8.5,3.0,0.0239,8.800000e-11
-8.5,3.5,0.0213,8.800000e-11
-8.5,4.0,0.0182,8.800000e-11
-8.5,4.5,0.0148,7.200000e-11
-8.5,5.0,0.0110,7.200000e-11
-8.5,5.5,0.0759,1.040000e-10
-8.5,6.0,0.0786,1.040000e-10
-8.5,6.5,0.0804,1.040000e-10
-8.5,7.0,0.0819,1.040000e-10
-8.5,7.5,0.0832,1.040000e-10
-8.5,8.0,0.0845,9.600000e-11
-8.5,8.5,0.0856,9.600000e-11
-8.5,9.0,0.0867,9.600000e-11
-8.5,9.5,0.0994,9.600000e-11
-8.5,10.0,0.1034,9.600000e-11
-8.0,2.0,0.0081,6.400000e-11
-8.0,2.5,0.0092,7.200000e-11
-8.0,3.0,0.0253,8.800000e-11
-8.0,3.5,0.0225,8.800000e-11
-8.0,4.0,0.0193,8.800000e-11
-8.0,4.5,0.0157,7.200000e-11
-8.0,5.0,0.0117,7.200000e-11
-8.0,5.5,0.0804,1.040000e-10
-8.0,6.0,0.0833,1.040000e-10
-8.0,6.5,0.0852,1.040000e-10
-8.0,7.0,0.0867,1.040000e-10
-8.0,7.5,0.0882,1.040000e-10
-8.0,8.0,0.0895,9.600000e-11
-8.0,8.5,0.0907,9.600000e-11
-8.0,9.0,0.0918,9.600000e-11
-8.0,9.5,0.1053,9.600000e-11
-8.0,10.0,0.1096,9.600000e-11
-7.5,2.0,0.0086,6.400000e-11
-7.5,2.5,0.0097,7.200000e-11
-7.5,3.0,0.0268,8.800000e-11
-7.5,3.5,0.0239,8.800000e-11
-7.5,4.0,0.0204,8.800000e-11
-7.5,4.5,0.0167,7.200000e-11
-7.5,5.0,0.0124,7.200000e-11
-7.5,5.5,0.0852,1.040000e-10
-7.5,6.0,0.0882,1.040000e-10
-7.5,6.5,0.0902,1.040000e-10
-7.5,7.0,0.0919,1.040000e-10
-7.5,7.5,0.0934,1.040000e-10
-7.5,8.0,0.0948,9.600000e-11
-7.5,8.5,0.0961,9.600000e-11
-7.5,9.0,0.0973,9.600000e-11
-7.5,9.5,0.1115,9.600000e-11
-7.5,10.0,0.1160,9.600000e-11
-7.0,2.0,0.0091,6.400000e-11
-7.0,2.5,0.0103,7.200000e-11
-7.0,3.0,0.0284,8.800000e-11
-7.0,3.5,0.0253,8.800000e-11
-7.0,4.0,0.0216,8.800000e-11
-7.0,4.5,0.0176,7.200000e-11
-7.0,5.0,0.0131,7.200000e-11
-7.0,5.5,0.0902,1.040000e-10
-7.0,6.0,0.0934,1.040000e-10
-7.0,6.5,0.0956,1.040000e-10
-7.0,7.0,0.0973,1.040000e-10
-7.0,7.5,0.0989,1.040000e-10
-7.0,8.0,0.1004,9.600000e-11
-7.0,8.5,0.1018,9.600000e-11
-7.0,9.0,0.1030,9.600000e-11
-7.0,9.5,0.1181,9.600000e-11
-7.0,10.0,0.1229,9.600000e-11
-6.5,2.0,0.0097,6.400000e-11
-6.5,2.5,0.0109,7.200000e-11
-6.5,3.0,0.0301,8.800000e-11
-6.5,3.5,0.0268,8.800000e-11
-6.5,4.0,0.0229,8.800000e-11
-6.5,4.5,0.0187,7.200000e-11
-6.5,5.0,0.0139,7.200000e-11
-6.5,5.5,0.0956,1.040000e-10
-6.5,6.0,0.0990,1.040000e-10
-6.5,6.5,0.1012,1.040000e-10
-6.5,7.0,0.1031,1.040000e-10
-6.5,7.5,0.1048,1.040000e-10
-6.5,8.0,0.1063,9.600000e-11
-6.5,8.5,0.1078,9.600000e-11
-6.5,9.0,0.1091,9.600000e-11
-6.5,9.5,0.1251,9.600000e-11
-6.5,10.0,0.1302,9.600000e-11
-6.0,2.0,0.0103,6.400000e-11
-6.0,2.5,0.0115,7.200000e-11
-6.0,3.0,0.0319,8.800000e-11
-6.0,3.5,0.0283,8.800000e-11
-6.0,4.0,0.0242,8.800000e-11
-6.0,4.5,0.0198,7.200000e-11
-6.0,5.0,0.0147,7.200000e-11
-6.0,5.5,0.1012,1.040000e-10
-6.0,6.0,0.1048,1.040000e-10
-6.0,6.5,0.1072,1.040000e-10
-6.0,7.0,0.1092,1.040000e-10
-6.0,7.5,0.1110,1.040000e-10
-6.0,8.0,0.1126,9.600000e-11
-6.0,8.5,0.1142,9.600000e-11
-6.0,9.0,0.1156,9.600000e-11
-6.0,9.5,0.1325,9.600000e-11
-6.0,10.0,0.1379,9.600000e-11
-5.5,2.0,0.0109,6.400000e-11
-5.5,2.5,0.0122,7.200000e-11
-5.5,3.0,0.0338,8.800000e-11
-5.5,3.5,0.0300,8.800000e-11
-5.5,4.0,0.0257,8.800000e-11
-5.5,4.5,0.0210,7.200000e-11
-5.5,5.0,0.0156,7.200000e-11
-5.5,5.5,0.1072,1.040000e-10
-5.5,6.0,0.1111,1.040000e-10
-5.5,6.5,0.1136,1.040000e-10
-5.5,7.0,0.1157,1.040000e-10
-5.5,7.5,0.1176,1.040000e-10
-5.5,8.0,0.1193,9.600000e-11
-5.5,8.5,0.1209,9.600000e-11
-5.5,9.0,0.1225,9.600000e-11
-5.5,9.5,0.1404,9.600000e-11
-5.5,10.0,0.1461,9.600000e-11
-5.0,2.0,0.0115,6.400000e-11
-5.0,2.5,0.0129,7.200000e-11
-5.0,3.0,0.0358,8.800000e-11
-5.0,3.5,0.0318,8.800000e-11
-5.0,4.0,0.0272,8.800000e-11
-5.0,4.5,0.0222,7.200000e-11
-5.0,5.0,0.0165,7.200000e-11
-5.0,5.5,0.1136,1.040000e-10
-5.0,6.0,0.1176,1.040000e-10
-5.0,6.5,0.1203,1.040000e-10
-5.0,7.0,0.1225,1.040000e-10
-5.0,7.5,0.1245,1.040000e-10
-5.0,8.0,0.1264,9.600000e-11
-5.0,8.5,0.1281,9.600000e-11
-5.0,9.0,0.1297,9.600000e-11
-5.0,9.5,0.1487,9.600000e-11
-5.0,10.0,0.1547,9.600000e-11
-4.5,2.0,0.0122,6.400000e-11
-4.5,2.5,0.0137,7.200000e-11
-4.5,3.0,0.0379,8.800000e-11
-4.5,3.5,0.0337,8.800000e-11
-4.5,4.0,0.0288,8.800000e-11
-4.5,4.5,0.0235,7.200000e-11
-4.5,5.0,0.0175,7.200000e-11
-4.5,5.5,0.1203,1.040000e-10
-4.5,6.0,0.1246,1.040000e-10
-4.5,6.5,0.1275,1.040000e-10
-4.5,7.0,0.1298,1.040000e-10
-4.5,7.5,0.1319,1.040000e-10
-4.5,8.0,0.1339,9.600000e-11
-4.5,8.5,0.1357,9.600000e-11
-4.5,9.0,0.1374,9.600000e-11
-4.5,9.5,0.1575,9.600000e-11
-4.5,10.0,0.1639,9.600000e-11
-4.0,2.0,0.0129,6.400000e-11
-4.0,2.5,0.0145,7.200000e-11
-4.0,3.0,0.0402,8.800000e-11
-4.0,3.5,0.0357,8.800000e-11
-4.0,4.0,0.0305,8.800000e-11
-4.0,4.5,0.0249,7.200000e-11
-4.0,5.0,0.0185,7.200000e-11
-4.0,5.5,0.1274,1.040000e-10
-4.0,6.0,0.1320,1.040000e-10
-4.0,6.5,0.1350,1.040000e-10
-4.0,7.0,0.1375,1.040000e-10
-4.0,7.5,0.1397,1.040000e-10
-4.0,8.0,0.1418,9.600000e-11
-4.0,8.5,0.1437,9.600000e-11
-4.0,9.0,0.1456,9.600000e-11
-4.0,9.5,0.1669,9.600000e-11
-4.0,10.0,0.1736,9.600000e-11
