DC_gain,Peak_gain,eye_height,eye_width
-10.0,2.0,0.0179,9.600000e-11
-10.0,2.5,0.0188,9.600000e-11
-10.0,3.0,0.0184,9.600000e-11
-10.0,3.5,0.0194,8.800000e-11
-10.0,4.0,0.0205,8.800000e-11
-10.0,4.5,0.0217,9.600000e-11
-10.0,5.0,0.0229,9.600000e-11
-10.0,5.5,0.0229,9.600000e-11
-10.0,6.0,0.0240,9.600000e-11
-10.0,6.5,0.0250,9.600000e-11
-10.0,7.0,0.0261,8.800000e-11
-10.0,7.5,0.0271,8.800000e-11
-10.0,8.0,0.0281,9.600000e-11
-10.0,8.5,0.0290,9.600000e-11
-10.0,9.0,0.0299,9.600000e-11
-10.0,9.5,0.0301,9.600000e-11
-10.0,10.0,0.0306,9.600000e-11
-9.5,2.0,0.0190,9.600000e-11
-9.5,2.5,0.0199,9.600000e-11
-9.5,3.0,0.0195,9.600000e-11
-9.5,3.5,0.0205,8.800000e-11
-9.5,4.0,0.0217,8.800000e-11
-9.5,4.5,0.0229,9.600000e-11
-9.5,5.0,0.0242,9.600000e-11
-9.5,5.5,0.0243,9.600000e-11
-9.5,6.0,0.0254,9.600000e-11
-9.5,6.5,0.0265,9.600000e-11
-9.5,7.0,0.0276,8.800000e-11
-9.5,7.5,0.0287,8.800000e-11
-9.5,8.0,0.0297,9.600000e-11
-9.5,8.5,0.0307,9.600000e-11
-9.5,9.0,0.0316,9.600000e-11
-9.5,9.5,0.0319,9.600000e-11
-9.5,10.0,0.0324,9.600000e-11
-9.0,2.0,0.0201,9.600000e-11
-9.0,2.5,0.0211,9.600000e-11
-9.0,3.0,0.0206,9.600000e-11
-9.0,3.5,0.0217,8.800000e-11
-9.0,4.0,0.0230,8.800000e-11
-9.0,4.5,0.0243,9.600000e-11
-9.0,5.0,0.0257,9.600000e-11
-9.0,5.5,0.0257,9.600000e-11
-9.0,6.0,0.0269,9.600000e-11
-9.0,6.5,0.0281,9.600000e-11
