DC_gain,Peak_gain,eye_height,eye_width
-6.0,10.0,0.1425,9.600000e-11
-5.5,2.0,0.0023,4.000000e-11
-5.5,2.5,0.0062,5.600000e-11
-5.5,3.0,0.0719,1.040000e-10
-5.5,3.5,0.0740,1.040000e-10
-5.5,4.0,0.0765,1.040000e-10
-5.5,4.5,0.0795,1.040000e-10
-5.5,5.0,0.0831,1.040000e-10
-5.5,5.5,0.1224,1.120000e-10
-5.5,6.0,0.1309,1.120000e-10
-5.5,6.5,0.1391,1.120000e-10
-5.5,7.0,0.1479,1.120000e-10
-5.5,7.5,0.1570,1.120000e-10
-5.5,8.0,0.1660,1.120000e-10
-5.5,8.5,0.1762,1.120000e-10
-5.5,9.0,0.1879,1.120000e-10
-5.5,9.5,0.1431,9.600000e-11
-5.5,10.0,0.1509,9.600000e-11
-5.0,2.0,0.0025,4.000000e-11
-5.0,2.5,0.0066,5.600000e-11
-5.0,3.0,0.0762,1.040000e-10
-5.0,3.5,0.0783,1.040000e-10
-5.0,4.0,0.0811,1.040000e-10
-5.0,4.5,0.0842,1.040000e-10
-5.0,5.0,0.0880,1.040000e-10
-5.0,5.5,0.1297,1.120000e-10
-5.0,6.0,0.1386,1.120000e-10
-5.0,6.5,0.1473,1.120000e-10
-5.0,7.0,0.1567,1.120000e-10
-5.0,7.5,0.1663,1.120000e-10
-5.0,8.0,0.1758,1.120000e-10
-5.0,8.5,0.1866,1.120000e-10
-5.0,9.0,0.1991,1.120000e-10
-5.0,9.5,0.1516,9.600000e-11
-5.0,10.0,0.1598,9.600000e-11
-4.5,2.0,0.0026,4.000000e-11
-4.5,2.5,0.0070,5.600000e-11
-4.5,3.0,0.0807,1.040000e-10
-4.5,3.5,0.0830,1.040000e-10
-4.5,4.0,0.0859,1.040000e-10
-4.5,4.5,0.0892,1.040000e-10
-4.5,5.0,0.0932,1.040000e-10
-4.5,5.5,0.1374,1.120000e-10
-4.5,6.0,0.1468,1.120000e-10
-4.5,6.5,0.1561,1.120000e-10
-4.5,7.0,0.1660,1.120000e-10
-4.5,7.5,0.1762,1.120000e-10
-4.5,8.0,0.1862,1.120000e-10
-4.5,8.5,0.1977,1.120000e-10
-4.5,9.0,0.2109,1.120000e-10
-4.5,9.5,0.1606,9.600000e-11
-4.5,10.0,0.1693,9.600000e-11
-4.0,2.0,0.0028,4.000000e-11
-4.0,2.5,0.0074,5.600000e-11
-4.0,3.0,0.0855,1.040000e-10
-4.0,3.5,0.0879,1.040000e-10
-4.0,4.0,0.0910,1.040000e-10
-4.0,4.5,0.0945,1.040000e-10
-4.0,5.0,0.0988,1.040000e-10
-4.0,5.5,0.1455,1.120000e-10
-4.0,6.0,0.1555,1.120000e-10
-4.0,6.5,0.1653,1.120000e-10
-4.0,7.0,0.1758,1.120000e-10
-4.0,7.5,0.1866,1.120000e-10
-4.0,8.0,0.1972,1.120000e-10
-4.0,8.5,0.2094,1.120000e-10
-4.0,9.0,0.2234,1.120000e-10
-4.0,9.5,0.1701,9.600000e-11
-4.0,10.0,0.1793,9.600000e-11
